sensorID,Type,Location,Event,Time,Day
S-01,Sonar,Desktop 1,ERROR,09:50:56,15/05/22
S-02,Sonar,sada,ERROR,09:50:57,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:50:58,15/05/22
S-04,Sonar,desktop 4,ERROR,09:50:59,15/05/22
S-05,Sonar,sada,ERROR,09:51:00,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:51:06,15/05/22
S-02,Sonar,sada,ERROR,09:51:07,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:51:09,15/05/22
S-04,Sonar,desktop 4,ERROR,09:51:11,15/05/22
S-05,Sonar,sada,ERROR,09:51:12,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:51:17,15/05/22
S-02,Sonar,sada,ERROR,09:51:19,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:51:20,15/05/22
S-04,Sonar,desktop 4,ERROR,09:51:21,15/05/22
S-05,Sonar,sada,ERROR,09:51:22,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:51:28,15/05/22
S-02,Sonar,sada,ERROR,09:51:29,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:51:30,15/05/22
S-04,Sonar,desktop 4,ERROR,09:51:31,15/05/22
S-05,Sonar,sada,ERROR,09:51:33,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:51:38,15/05/22
S-02,Sonar,sada,ERROR,09:51:39,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:51:41,15/05/22
S-04,Sonar,desktop 4,ERROR,09:51:52,15/05/22
S-05,Sonar,sada,ERROR,09:51:55,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:52:00,15/05/22
S-02,Sonar,sada,ERROR,09:52:01,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:52:02,15/05/22
S-04,Sonar,desktop 4,ERROR,09:52:04,15/05/22
S-05,Sonar,sada,ERROR,09:52:05,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:52:11,15/05/22
S-02,Sonar,sada,ERROR,09:52:12,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:52:13,15/05/22
S-04,Sonar,desktop 4,ERROR,09:52:14,15/05/22
S-05,Sonar,sada,ERROR,09:52:16,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:52:21,15/05/22
S-02,Sonar,sada,ERROR,09:52:22,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:52:24,15/05/22
S-04,Sonar,desktop 4,ERROR,09:52:25,15/05/22
S-05,Sonar,sada,ERROR,09:52:26,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:52:32,15/05/22
S-02,Sonar,sada,ERROR,09:52:33,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:52:34,15/05/22
S-04,Sonar,desktop 4,ERROR,09:52:35,15/05/22
S-05,Sonar,sada,ERROR,09:52:37,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:52:42,15/05/22
S-02,Sonar,sada,ERROR,09:52:43,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:52:54,15/05/22
S-04,Sonar,desktop 4,ERROR,09:52:57,15/05/22
S-05,Sonar,sada,ERROR,09:52:58,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:53:04,15/05/22
S-02,Sonar,sada,ERROR,09:53:05,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:53:06,15/05/22
S-04,Sonar,desktop 4,ERROR,09:53:07,15/05/22
S-05,Sonar,sada,ERROR,09:53:08,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:53:14,15/05/22
S-02,Sonar,sada,ERROR,09:53:15,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:53:16,15/05/22
S-04,Sonar,desktop 4,ERROR,09:53:17,15/05/22
S-05,Sonar,sada,ERROR,09:53:19,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:53:24,15/05/22
S-02,Sonar,sada,ERROR,09:53:25,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:53:27,15/05/22
S-04,Sonar,desktop 4,ERROR,09:53:28,15/05/22
S-05,Sonar,sada,ERROR,09:53:29,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:53:35,15/05/22
S-02,Sonar,sada,ERROR,09:53:36,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:53:37,15/05/22
S-04,Sonar,desktop 4,ERROR,09:53:38,15/05/22
S-05,Sonar,sada,ERROR,09:53:40,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:53:45,15/05/22
S-02,Sonar,sada,ERROR,09:53:56,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:53:59,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:54:47,15/05/22
S-02,Sonar,sada,ERROR,09:54:48,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:54:49,15/05/22
S-04,Sonar,desktop 4,ERROR,09:54:51,15/05/22
S-05,Sonar,sada,ERROR,09:54:52,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:55:05,15/05/22
S-02,Sonar,sada,ERROR,09:55:07,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:55:08,15/05/22
S-04,Sonar,desktop 4,ERROR,09:55:09,15/05/22
S-05,Sonar,sada,ERROR,09:55:10,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:55:24,15/05/22
S-02,Sonar,sada,ERROR,09:55:25,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:55:26,15/05/22
S-04,Sonar,desktop 4,ERROR,09:55:28,15/05/22
S-05,Sonar,sada,ERROR,09:55:29,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:55:42,15/05/22
S-02,Sonar,sada,ERROR,09:55:44,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:55:45,15/05/22
S-04,Sonar,desktop 4,ERROR,09:55:46,15/05/22
S-05,Sonar,sada,ERROR,09:55:47,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:56:01,15/05/22
S-02,Sonar,sada,ERROR,09:56:02,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:56:03,15/05/22
S-05,Sonar,sada,ERROR,09:56:15,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:56:30,15/05/22
S-02,Sonar,sada,ERROR,09:56:31,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:56:33,15/05/22
S-04,Sonar,desktop 4,ERROR,09:56:34,15/05/22
S-05,Sonar,sada,ERROR,09:56:35,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:56:49,15/05/22
S-02,Sonar,sada,ERROR,09:56:50,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:56:51,15/05/22
S-04,Sonar,desktop 4,ERROR,09:56:52,15/05/22
S-05,Sonar,sada,ERROR,09:56:54,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:57:07,15/05/22
S-02,Sonar,sada,ERROR,09:57:08,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:57:10,15/05/22
S-04,Sonar,desktop 4,ERROR,09:57:11,15/05/22
S-05,Sonar,sada,ERROR,09:57:12,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:57:25,15/05/22
S-02,Sonar,sada,ERROR,09:57:27,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:57:28,15/05/22
S-04,Sonar,desktop 4,ERROR,09:57:29,15/05/22
S-05,Sonar,sada,ERROR,09:57:31,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:57:44,15/05/22
S-02,Sonar,sada,ERROR,09:57:45,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:57:47,15/05/22
S-04,Sonar,desktop 4,ERROR,09:57:58,15/05/22
S-05,Sonar,sada,ERROR,09:58:01,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:58:14,15/05/22
S-02,Sonar,sada,ERROR,09:58:16,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:58:17,15/05/22
S-04,Sonar,desktop 4,ERROR,09:58:18,15/05/22
S-05,Sonar,sada,ERROR,09:58:20,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:58:33,15/05/22
S-02,Sonar,sada,ERROR,09:58:35,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:58:36,15/05/22
S-04,Sonar,desktop 4,ERROR,09:58:37,15/05/22
S-05,Sonar,sada,ERROR,09:58:38,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:58:52,15/05/22
S-02,Sonar,sada,ERROR,09:58:53,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:58:54,15/05/22
S-04,Sonar,desktop 4,ERROR,09:58:55,15/05/22
S-05,Sonar,sada,ERROR,09:58:57,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:59:10,15/05/22
S-02,Sonar,sada,ERROR,09:59:11,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:59:13,15/05/22
S-04,Sonar,desktop 4,ERROR,09:59:14,15/05/22
S-05,Sonar,sada,ERROR,09:59:15,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:59:29,15/05/22
S-02,Sonar,sada,ERROR,09:59:30,15/05/22
S-03,Sonar,Desktop 3,ERROR,09:59:41,15/05/22
S-04,Sonar,desktop 4,ERROR,09:59:44,15/05/22
S-05,Sonar,sada,ERROR,09:59:45,15/05/22
S-01,Sonar,Desktop 1,ERROR,09:59:59,15/05/22
S-02,Sonar,sada,ERROR,10:00:00,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:00:01,15/05/22
S-04,Sonar,desktop 4,ERROR,10:00:03,15/05/22
S-05,Sonar,sada,ERROR,10:00:04,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:00:17,15/05/22
S-02,Sonar,sada,ERROR,10:00:19,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:00:20,15/05/22
S-04,Sonar,desktop 4,ERROR,10:00:21,15/05/22
S-05,Sonar,sada,ERROR,10:00:24,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:00:38,15/05/22
S-02,Sonar,sada,ERROR,10:00:39,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:00:40,15/05/22
S-04,Sonar,desktop 4,ERROR,10:00:42,15/05/22
S-05,Sonar,sada,ERROR,10:00:43,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:00:57,15/05/22
S-02,Sonar,sada,ERROR,10:00:58,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:00:59,15/05/22
S-04,Sonar,desktop 4,ERROR,10:01:00,15/05/22
S-05,Sonar,sada,ERROR,10:01:02,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:01:15,15/05/22
S-02,Sonar,sada,ERROR,10:01:26,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:01:29,15/05/22
S-04,Sonar,desktop 4,ERROR,10:01:30,15/05/22
S-05,Sonar,sada,ERROR,10:01:31,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:01:45,15/05/22
S-02,Sonar,sada,ERROR,10:01:46,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:01:47,15/05/22
S-04,Sonar,desktop 4,ERROR,10:01:48,15/05/22
S-05,Sonar,sada,ERROR,10:01:49,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:02:03,15/05/22
S-02,Sonar,sada,ERROR,10:02:04,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:02:05,15/05/22
S-04,Sonar,desktop 4,ERROR,10:02:06,15/05/22
S-05,Sonar,sada,ERROR,10:02:08,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:02:22,15/05/22
S-02,Sonar,sada,ERROR,10:02:23,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:02:24,15/05/22
S-04,Sonar,desktop 4,ERROR,10:02:26,15/05/22
S-05,Sonar,sada,ERROR,10:02:27,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:02:40,15/05/22
S-02,Sonar,sada,ERROR,10:02:42,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:02:43,15/05/22
S-04,Sonar,desktop 4,ERROR,10:02:44,15/05/22
S-05,Sonar,sada,ERROR,10:02:45,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:03:08,15/05/22
S-02,Sonar,sada,ERROR,10:03:11,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:03:12,15/05/22
S-04,Sonar,desktop 4,ERROR,10:03:13,15/05/22
S-05,Sonar,sada,ERROR,10:03:14,15/05/22
S-01,Sonar,Desktop 1,ERROR,10:03:28,15/05/22
S-02,Sonar,sada,ERROR,10:03:29,15/05/22
S-03,Sonar,Desktop 3,ERROR,10:03:30,15/05/22
S-04,Sonar,desktop 4,ERROR,10:03:31,15/05/22
