sensorID,Type,Location,Event,Time,Day
V-01,Rpi Camera,somehwere,1,15:51:31,29/05/22
V-01,Rpi Camera,somehwere,0,15:51:39,29/05/22
V-01,Rpi Camera,somehwere,0,15:51:47,29/05/22
V-01,Rpi Camera,somehwere,0,15:51:55,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:03,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:10,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:18,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:26,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:34,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:42,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:49,29/05/22
V-01,Rpi Camera,somehwere,0,15:52:58,29/05/22
V-01,Rpi Camera,somehwere,0,15:53:06,29/05/22
V-01,Rpi Camera,somehwere,0,15:53:14,29/05/22
V-01,Rpi Camera,somehwere,0,15:53:21,29/05/22
V-01,Rpi Camera,somehwere,1,15:53:29,29/05/22
V-01,Rpi Camera,somehwere,1,15:53:37,29/05/22
V-01,Rpi Camera,somehwere,1,15:55:38,29/05/22
V-01,Rpi Camera,somehwere,1,15:55:46,29/05/22
V-01,Rpi Camera,somehwere,1,15:55:54,29/05/22
V-01,Rpi Camera,somehwere,1,15:57:51,29/05/22
V-01,Rpi Camera,somehwere,1,15:57:59,29/05/22
V-01,Rpi Camera,somehwere,1,15:58:07,29/05/22
V-01,Rpi Camera,somehwere,0,15:58:16,29/05/22
V-01,Rpi Camera,somehwere,1,15:58:24,29/05/22
V-01,Rpi Camera,somehwere,1,16:00:56,29/05/22
V-01,Rpi Camera,somehwere,1,16:01:45,29/05/22
V-01,Rpi Camera,somehwere,1,16:01:53,29/05/22
V-01,Rpi Camera,somehwere,1,16:02:01,29/05/22
V-01,Rpi Camera,somehwere,1,16:02:09,29/05/22
V-01,Rpi Camera,somehwere,1,16:02:17,29/05/22
V-01,Rpi Camera,somehwere,1,16:02:25,29/05/22
V-01,Rpi Camera,somehwere,1,16:02:33,29/05/22
V-01,Rpi Camera,somehwere,1,16:02:41,29/05/22
V-01,Rpi Camera,somehwere,1,16:02:49,29/05/22
V-01,Rpi Camera,somehwere,1,16:05:31,29/05/22
V-01,Rpi Camera,somehwere,1,16:05:39,29/05/22
V-01,Rpi Camera,somehwere,1,16:05:47,29/05/22
V-01,Rpi Camera,somehwere,1,16:05:55,29/05/22
V-01,Rpi Camera,somehwere,1,16:06:04,29/05/22
V-01,Rpi Camera,somehwere,1,16:06:12,29/05/22
V-01,Rpi Camera,somehwere,1,16:06:46,29/05/22
V-01,Rpi Camera,somehwere,1,16:06:54,29/05/22
V-01,Rpi Camera,somehwere,1,16:07:03,29/05/22
V-01,Rpi Camera,somehwere,1,16:07:11,29/05/22
V-01,Rpi Camera,somehwere,1,16:07:20,29/05/22
V-01,Rpi Camera,somehwere,1,16:07:28,29/05/22
V-01,Rpi Camera,somehwere,1,16:07:36,29/05/22
V-01,Rpi Camera,somehwere,1,16:07:44,29/05/22
S-01,Sonar,Desktop 1,NO,12:34:51,30/05/22
S-02,Sonar,sada,ERROR,12:34:52,30/05/22
S-03,Sonar,Desktop 3,ERROR,12:34:53,30/05/22
S-04,Sonar,desktop 4,ERROR,12:34:54,30/05/22
S-05,Sonar,sada,YES,12:34:55,30/05/22
S-01,Sonar,Desktop 1,YES,12:35:10,30/05/22
S-02,Sonar,sada,ERROR,12:35:11,30/05/22
S-03,Sonar,Desktop 3,ERROR,12:35:12,30/05/22
S-04,Sonar,desktop 4,ERROR,12:35:14,30/05/22
S-05,Sonar,sada,YES,12:35:14,30/05/22
S-01,Sonar,Desktop 1,YES,12:35:28,30/05/22
S-02,Sonar,sada,ERROR,12:35:29,30/05/22
S-03,Sonar,Desktop 3,ERROR,12:35:30,30/05/22
S-04,Sonar,desktop 4,ERROR,12:35:31,30/05/22
S-05,Sonar,sada,ERROR,12:35:31,30/05/22
